Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
seasonal_daily,1559,432.0,14272.0,15173.0,33.548611111111114,67.55147214449799,1.015484865470852,2.0856481481481484
seasonal_weekly,1559,432.0,14272.0,13222.0,30.796296296296298,60.98891824051439,0.9321748878923767,-2.4305555555555554
direct_mean,1583,432.0,16113.0,14597.560606060608,27.564335484474373,54.831269699152315,0.739017745254945,-3.5079615600448935
rolling_24,1583,432.0,16113.0,14272.0,28.56500771604938,56.853572479692986,0.7658464180061647,-4.261574074074073
rolling_168,1583,432.0,16113.0,14324.571428571428,27.565917107583775,54.97657461838839,0.7390601495982244,-4.139880952380952
rolling_336,1583,432.0,16113.0,14426.785714285714,27.757206238977073,55.24634459306651,0.7441887355078567,-3.9032738095238084
seasonal_daily,1583,432.0,16113.0,14272.0,37.52546296296296,75.97104406967853,1.00608204555328,-4.261574074074074
seasonal_weekly,1583,432.0,16113.0,12337.0,31.34722222222222,67.80077023489072,0.8404393967603798,-8.74074074074074
direct_mean,1607,432.0,15481.0,14620.179104477613,28.186316680486453,55.495895464375465,0.7865440737659162,-1.9926409618573802
rolling_24,1607,432.0,15481.0,16112.999999999998,28.66878858024691,55.13079023228129,0.8000075361195443,1.4629629629629635
rolling_168,1607,432.0,15481.0,14864.0,28.639963624338627,55.8766480953775,0.7992031707069496,-1.428240740740741
rolling_336,1607,432.0,15481.0,14518.142857142859,28.439938822751326,55.9234826483239,0.7936214437974661,-2.228835978835979
seasonal_daily,1607,432.0,15481.0,16113.0,34.53703703703704,71.57468257131977,0.9637620308765583,1.462962962962963
seasonal_weekly,1607,432.0,15481.0,13553.0,34.995370370370374,72.14401748765631,0.9765519023318907,-4.462962962962963
direct_mean,1631,432.0,15415.0,14632.838235294119,28.345310230573713,58.420256800292954,0.7943674355892212,-1.810559640522876
rolling_24,1631,432.0,15415.0,15481.0,30.11940586419753,60.435886949122875,0.8440858471186075,0.15277777777777804
rolling_168,1631,432.0,15415.0,15139.428571428572,28.765018738977073,58.690593406785936,0.8061296201905997,-0.6378968253968232
rolling_336,1631,432.0,15415.0,14664.428571428572,28.378789131393297,58.370028157895945,0.7953056701110545,-1.737433862433862
seasonal_daily,1631,432.0,15415.0,15481.0,36.43981481481482,75.1029540278124,1.0212131041193642,0.1527777777777778
seasonal_weekly,1631,432.0,15415.0,14668.0,31.96990740740741,69.00202962661744,0.8959455076224456,-1.7291666666666667
direct_mean,1655,432.0,14685.0,14644.173913043476,26.542323649132225,51.590889347493324,0.7808160583197222,-0.09450483091787494
rolling_24,1655,432.0,14685.0,15415.0,27.54996141975309,52.083302777768814,0.8104585177618886,1.689814814814815
rolling_168,1655,432.0,14685.0,15246.142857142857,26.86910273368607,51.661950511504955,0.7904291713280478,1.2989417989417986
rolling_336,1655,432.0,14685.0,14613.428571428572,26.582423941798947,51.54387244936497,0.7819957196361692,-0.1656746031746021
seasonal_daily,1655,432.0,14685.0,15415.0,38.66203703703704,85.16231778416068,1.137351038474634,1.6898148148148149
seasonal_weekly,1655,432.0,14685.0,16211.0,36.59722222222222,80.78013713503806,1.076608784473953,3.5324074074074074
direct_mean,1679,432.0,15971.0,14644.757142857143,25.66649581128748,50.49477661399703,0.6942537217754801,-3.070006613756614
rolling_24,1679,432.0,15971.0,14685.0,25.50655864197531,50.26396084702104,0.6899275770667669,-2.97685185185185
rolling_168,1679,432.0,15971.0,15028.142857142857,25.9150958994709,50.40796552680838,0.7009781121139207,-2.182539682539682
rolling_336,1679,432.0,15971.0,14695.071428571428,25.762703924162256,50.46129273586511,0.6968560575567024,-2.953538359788359
seasonal_daily,1679,432.0,15971.0,14685.0,35.351851851851855,74.75243090312131,0.9562331726253835,-2.9768518518518516
seasonal_weekly,1679,432.0,15971.0,14058.0,35.12268518518518,75.84357378964407,0.9500344374178198,-4.4282407407407405
direct_mean,1703,432.0,15156.0,14663.436619718312,26.802800599895672,53.62154663336728,0.763975314011278,-1.1401930099113189
rolling_24,1703,432.0,15156.0,15971.0,27.04571759259259,53.703540967984594,0.7708993138031143,1.8865740740740746
rolling_168,1703,432.0,15156.0,15301.428571428572,27.071456128747794,53.55637564088522,0.7716329537885357,0.33664021164021196
rolling_336,1703,432.0,15156.0,14765.142857142859,26.79203869047619,53.3744945803304,0.7636685612487275,-0.9047619047619041
seasonal_daily,1703,432.0,15156.0,15971.0,33.90972222222222,68.92932840826766,0.966547901821061,1.8865740740740742
seasonal_weekly,1703,432.0,15156.0,15173.0,32.79398148148148,71.91196714399153,0.9347453153866455,0.03935185185185185
direct_mean,1727,432.0,14738.0,14670.27777777778,25.025160215192045,47.2728962586753,0.7335370615390802,-0.15676440329218042
rolling_24,1727,432.0,14738.0,15156.0,25.792438271604937,49.34996435136991,0.7560275026009861,0.9675925925925929
rolling_168,1727,432.0,14738.0,15299.0,25.39263668430335,47.36886313909247,0.7443085254185811,1.2986111111111132
rolling_336,1727,432.0,14738.0,14736.785714285714,25.069003527336864,47.6073156999324,0.7348221959431079,-0.002810846560845922
seasonal_daily,1727,432.0,14738.0,15156.0,33.26851851851852,67.56135757248397,0.9751662369385262,0.9675925925925926
seasonal_weekly,1727,432.0,14738.0,14272.0,29.72222222222222,61.28965080905826,0.8712172615008821,-1.0787037037037037
direct_mean,1751,432.0,15299.0,14671.205479452055,27.89884576357179,53.4580710080447,0.787783604801818,-1.4532280568239475
rolling_24,1751,432.0,15299.0,14738.0,27.99826388888889,53.852185381564325,0.7905908882933526,-1.2986111111111118
rolling_168,1751,432.0,15299.0,15365.571428571428,28.04252094356261,53.32470107339817,0.7918405809281029,0.15410052910052816
